"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"50","3","nInfected","1.28","1","median","1","18.9613589060539","18.7159726664695","63.9834323788943","23.9650239109991","16.9618024291174","18.8386657862617","11.7093863177061","1.95489925365668",2.5
"51","4","Infectiousness","1.28","1","median","1","26.3628215857689","26.1602596442056","63.0895375162432","30.0744296255075","25.6088060720735","26.2615406149872","21.1217212710858","8.98929888862686",2.5
"52","4","nInfected","1.28","1","median","1","15.8736514355883","15.644847073726","54.9792904736179","19.9631830642095","13.9604217940252","15.7592492546571","8.95812073553834","0",2.5
"53","5","Infectiousness","1.28","1","median","1","22.8426162093349","22.652151332308","56.4794705564622","26.4724666987214","21.9619670747726","22.7473837708214","18.189926441459","5.06236004922694",2.5
"54","5","nInfected","1.28","1","median","1","13.380791375008","13.1714226434405","56.9802108970126","17.9622626408148","11.4592712647818","13.2761070092242","6.95720031214358","0",2.5
"55","7","Infectiousness","1.28","1","median","1","16.4634822805405","16.2905170166742","42.3829378479661","20.2723671373564","16.020545077263","16.3769996486074","12.0967856178182","0",2.5
"56","7","nInfected","1.28","1","median","1","8.61487013033151","8.46098476291937","41.9733077215519","11.9595013706305","6.95720031214358","8.53792744662544","3.95581967705144","0",2.5
"57","10","Infectiousness","1.28","1","median","1","11.0149950105316","10.8641412419649","30.9263477248671","14.1109939488184","10.6632697917273","10.9395681262483","7.31134183091844","0",2.5
"58","10","nInfected","1.28","1","median","1","4.60143696977539","4.4907454341304","23.9650239109991","5.9567401004462","2.95535946535406","4.5460912019529","0.954439041959295","0",2.5
"59","15","Infectiousness","1.28","1","median","1","5.65741259567242","5.53078427026826","20.1655202407052","8.16410331333673","5.36762571775723","5.59409843297034","2.65028194658091","0",2.5
"60","15","nInfected","1.28","1","median","1","1.45908685639354","1.41423487160133","10.9590411589331","1.95489925365668","0.954439041959295","1.43666086399743","0","0",2.5
"61","20","Infectiousness","1.28","1","median","1","4.40610567911169","4.28616544634793","16.497847846753","6.76339156279778","4.38366676139429","4.34613556272981","1.65147091234785","0",2.5
"62","20","nInfected","1.28","1","median","1","0.838749772674527","0.806006815355944","10.9590411589331","0.954439041959295","0","0.822378294015236","0","0",2.5
"63","25","Infectiousness","1.28","1","median","1","3.25828183432661","3.13848741430757","13.5323808644444","5.53214806166792","2.98486623972935","3.19838462431709","0.641886743657484","0",2.5
"64","25","nInfected","1.28","1","median","1","0.467204555263776","0.445215157804213","6.95720031214358","0.954439041959295","0","0.456209856533995","0","0",2.5
"65","30","Infectiousness","1.28","1","median","1","2.96881504936906","2.85232207856695","16.051171227005","5.38246521258138","2.74400691406995","2.910568563968","0.400218059418795","0",2.5
"66","30","nInfected","1.28","1","median","1","0.381866962972972","0.362475434529879","3.95581967705144","0.954439041959295","0","0.372171198751426","0","0",2.5
"67","1","Infectiousness","0.645","0","perfect","1","0.500698446622151","0.372443126982051","10.1772236078682","2.63924994243489","0.126841602398236","0.436570786802101","0","0",1.5
"68","1","nInfected","0.645","0","perfect","1","0.631785198179881","0.562555710000159","7.8193258787223","0.805578934712038","0","0.59717045409002","0","0",1.5
"69","2","Infectiousness","0.645","0","perfect","1","0","0","8.92079208217959","2.01103123744763","0","0","0","0",1.5
"70","2","nInfected","0.645","0","perfect","1","0.275196362422331","0.20975414056353","4.81343433128933","0.805578934712038","0","0.242475251492931","0","0",1.5
"71","3","Infectiousness","0.645","0","perfect","1","0","0","10.8050171203601","2.01095764668773","0","0","0","0",1.5
"72","3","nInfected","0.645","0","perfect","1","0.116246800031378","0.0520831266248747","3.81147048214501","0","0","0.0841649633281263","0","0",1.5
"73","4","Infectiousness","0.645","0","perfect","1","0.0313549186372214","0","8.92043607525096","2.01096569292412","0.12652162368685","0","0","0",1.5
"74","4","nInfected","0.645","0","perfect","1","0.0337988641712214","0","2.80950663300068","0","0","0.00200392769828398","0","0",1.5
"75","5","Infectiousness","0.645","0","perfect","1","0","0","8.29237940339857","2.01093242788287","0.12650360269226","0","0","0",1.5
"76","5","nInfected","0.645","0","perfect","1","0.009715149233541","0","2.80950663300068","0","0","0","0","0",1.5
"77","7","Infectiousness","0.645","0","perfect","1","0","0","10.1767762875825","1.38295943895092","0","0","0","0",1.5
"78","7","nInfected","0.645","0","perfect","1","0","0","5.81539818043365","0","0","0","0","0",1.5
"79","10","Infectiousness","0.645","0","perfect","1","0","0","8.29226684236749","2.0109068740407","0","0","0","0",1.5
"80","10","nInfected","0.645","0","perfect","1","0","0","2.80950663300068","0","0","0","0","0",1.5
"81","15","Infectiousness","0.645","0","perfect","1","0","0","8.29232004374922","1.38277818480705","0","0","0","0",1.5
"82","15","nInfected","0.645","0","perfect","1","0","0","1.80754278385636","0","0","0","0","0",1.5
"83","20","Infectiousness","0.645","0","perfect","1","0","0","9.54845875430054","2.0108710996461","0.12646943533717","0","0","0",1.5
"84","20","nInfected","0.645","0","perfect","1","0","0","1.80754278385636","0","0","0","0","0",1.5
"85","25","Infectiousness","0.645","0","perfect","1","0","0","8.29221303911742","1.38274005519329","0","0","0","0",1.5
"86","25","nInfected","0.645","0","perfect","1","0","0","2.80950663300068","0","0","0","0","0",1.5
"87","30","Infectiousness","0.645","0","perfect","1","0","0","9.54845878772197","2.01086210923962","0","0","0","0",1.5
"88","30","nInfected","0.645","0","perfect","1","0","0","1.80754278385636","0","0","0","0","0",1.5
"89","1","Infectiousness","0.645","0","median","0.8","48.9888429151116","48.6044683245692","94.9940725875254","57.2109720068972","45.1058077183632","48.7966556198404","37.5489990226191","25.7568740204211",1.5
"90","1","nInfected","0.645","0","median","0.8","34.2966987770183","33.7605864035545","95.9971535314001","45.9615726739014","28.9494751823519","34.0286425902864","16.9409357765522","2.93097313645259",1.5
"91","2","Infectiousness","0.645","0","median","0.8","43.2695912777248","42.9286807492506","93.7455745081851","50.6492159384927","39.6027489972268","43.0991360134877","34.0383282499617","23.2738071130109",1.5
"92","2","nInfected","0.645","0","median","0.8","29.9904408569931","29.5318861310873","94.9964419142501","39.9573029710016","25.947340330902","29.7611634940402","15.9402241594022","1.93026151930262",1.5
"93","3","Infectiousness","0.645","0","median","0.8","35.7387077119482","35.438934617972","78.0411405075973","40.2180495286311","32.5834251624589","35.5888211649601","28.330062803401","15.5648028359322",1.5
