"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.Median","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"66",30,5,"random",1,1.5,1.5,1.5,1.49627287370242,0.26575977976444,1.5,1.5,0,1.5,1.5
"67",1,0,"perfect",1,0.00857362555854451,0,0.0165204767972881,0.000626774319800916,0,1.85957725785357e-05,0.485832743960058,0,1.5,1.5
"68",2,0,"perfect",1,0.033476501920275,0.00709346679040955,0.041435825860413,0.0255171779801385,0.000389168598184497,0.0353915922826561,0.490799372524716,0,1.5,1.5
"69",3,0,"perfect",1,0.0766048839181544,0.0152225637250019,0.084630811183581,0.0685789566527265,0.00114269109725853,0.099472990324788,0.813220724209908,0,1.5,1.5
"70",4,0,"perfect",1,0.127346883999363,0.0276706177506151,0.135482083831644,0.119211684167082,0.00355118585641506,0.194391908743809,1.1073566973627,0,1.5,1.5
"71",5,0,"perfect",1,0.177210186424098,0.0390185628314564,0.185484408640859,0.168935964207338,0.00560142358989602,0.273018178350442,1.24146261340081,0,1.5,1.5
"72",7,0,"perfect",1,0.302834274146624,0.0894644726354686,0.311545416333792,0.294123131959456,0.0111598222497494,0.525912594352857,1.5,0,1.5,1.5
"73",10,0,"perfect",1,0.401264115343554,0.161736234743001,0.410298210905373,0.392230019781735,0.020245115252355,0.753217821697053,1.5,0,1.5,1.5
"74",15,0,"perfect",1,0.742129117778139,0.679205441929272,0.7522422976857,0.732015937870577,0.0320132565811155,1.37463350997129,1.5,0,1.5,1.5
"75",20,0,"perfect",1,0.675039183083199,0.558310151336956,0.684949299752551,0.665129066413848,0.0373477992109739,1.23801141461721,1.5,0,1.5,1.5
"76",25,0,"perfect",1,0.719806478480586,0.638562697437318,0.729870948966019,0.709742007995152,0.0296907323317095,1.2704825430519,1.5,0,1.5,1.5
"77",30,0,"perfect",1,0.908235656489946,0.98975994540213,0.918661620493677,0.897809692486216,0.0608622146332034,1.5,1.5,0,1.5,1.5
