"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"46","1","nInfected","0.645","1","random","1","73.6530106775887","72.5384891540655","100","98.7050322446971","92.8776773458341","73.0957499158271","53.3811608090959","0",1.5
"47","2","Infectiousness","0.645","1","random","1","85.0228984748821","83.9390254565492","100","99.5316329685421","96.2415407933127","84.4809619657157","75.8983292939465","1.29397717182713",1.5
"48","2","nInfected","0.645","1","random","1","65.8746404793248","64.7099079654189","100","98.7050322446971","88.345290202274","65.2922742223719","30.0717412136438","0",1.5
"49","3","Infectiousness","0.645","1","random","1","76.9515800377564","75.8080839879107","100","99.2418686559432","94.3129508929435","76.3798320128336","56.6983815449454","0",1.5
"50","3","nInfected","0.645","1","random","1","58.3008748616965","57.0755722647701","100","97.4100644893942","84.4603869363653","57.6882235632333","10.6472248841004","0",1.5
"51","4","Infectiousness","0.645","1","random","1","69.364044335884","68.1633359435757","100","99.1399421828712","88.6456831145627","68.7636901397299","41.274758025098","0",1.5
"52","4","nInfected","0.645","1","random","1","52.7277696934093","51.4705157692827","100","97.4100644893942","77.9855481598508","52.099142731346","1.2587086581544","0",1.5
"53","5","Infectiousness","0.645","1","random","1","62.1168163587929","60.8624915114205","100","98.9293572349715","85.6379818658949","61.4896539351067","22.9668346360442","0",1.5
"54","5","nInfected","0.645","1","random","1","46.8242897938814","45.5224507722785","100","97.4100644893942","68.2732899950791","46.1733702830799","0","0",1.5
"55","7","Infectiousness","0.645","1","random","1","51.1661561089693","49.8473151529908","100","98.1965353025771","64.7180559242311","50.5067356309801","3.47324738523394","0",1.5
"56","7","nInfected","0.645","1","random","1","37.4214487192301","36.0938707493151","100","97.4100644893942","28.7767734583409","36.7576597342726","0","0",1.5
"57","10","Infectiousness","0.645","1","random","1","40.5143444307235","39.1578814847776","100","97.0519502728174","35.5946560633791","39.8361129577505","0","0",1.5
"58","10","nInfected","0.645","1","random","1","27.0205679113255","25.6768499229705","100","94.8201289787884","0","26.348708917148","0","0",1.5
"59","15","Infectiousness","0.645","1","random","1","25.1051766359252","23.7024417424611","100","96.3738557694034","4.74643970744819","24.4038091891932","0","0",1.5
"60","15","nInfected","0.645","1","random","1","15.1431803469344","13.7889892420428","100","94.8201289787884","0","14.4660847944886","0","0",1.5
"61","20","Infectiousness","0.645","1","random","1","20.4564684270833","19.040574969554","100","96.6388606919455","0","19.7485216983186","0","0",1.5
"62","20","nInfected","0.645","1","random","1","11.8137830973538","10.4544824228347","100","94.8201289787884","0","11.1341327600943","0","0",1.5
"63","25","Infectiousness","0.645","1","random","1","17.692602125154","16.2677801703144","100","94.6184908042642","0","16.9801911477342","0","0",1.5
"64","25","nInfected","0.645","1","random","1","10.3787266877494","9.0276600932197","100","89.9639998964026","0","9.70319339048457","0","0",1.5
"65","30","Infectiousness","0.645","1","random","1","14.4266292790605","12.9837796971685","100","95.4684273434205","0","13.7052044881145","0","0",1.5
"66","30","nInfected","0.645","1","random","1","9.73750738898938","8.38168144320869","100","92.2301934681826","0","9.05959441609903","0","0",1.5
"67","1","Infectiousness","0.645","1","random","0.8","88.8860421412753","87.7027538291041","100","99.7598481416418","97.4678347068712","88.2943979851897","82.3871935488494","16.6302311007289",1.5
"68","1","nInfected","0.645","1","random","0.8","68.6626448012083","67.3759274050286","100","98.677968737849","90.7457811649428","68.0192861031184","37.8645306789019","0",1.5
"69","2","Infectiousness","0.645","1","random","0.8","79.1138385148075","77.8548612252548","100","99.4830296621632","94.8495861932487","78.4843498700311","63.4785176628271","0",1.5
"70","2","nInfected","0.645","1","random","0.8","60.4701176458154","59.1161643356762","100","97.355937475698","86.7796873784898","59.7931409907458","15.3899992223346","0",1.5
"71","3","Infectiousness","0.645","1","random","0.8","68.3139761803744","66.9832011314428","100","98.8292935348835","85.9942836057305","67.6485886559086","39.6034336603664","0",1.5
"72","3","nInfected","0.645","1","random","0.8","50.1838945893499","48.7786997025858","100","97.355937475698","68.932265339451","49.4812971459678","0","0",1.5
"73","4","Infectiousness","0.645","1","random","0.8","59.9900521468724","58.5750443335245","100","98.8801306787781","85.3003529534288","59.2825482401984","15.8684912195122","0",1.5
"74","4","nInfected","0.645","1","random","0.8","45.2525982063695","43.7838743031569","100","97.355937475698","69.5932809705265","44.5182362547632","0","0",1.5
"75","5","Infectiousness","0.645","1","random","0.8","49.6172054779817","48.1521788719681","100","99.0131562228541","57.1644313551756","48.8846921749749","2.90498028066925","0",1.5
"76","5","nInfected","0.645","1","random","0.8","34.9719387678558","33.4719526700476","100","97.355937475698","18.6950773777121","34.2219457189517","0","0",1.5
"77","7","Infectiousness","0.645","1","random","0.8","38.2085949185955","36.6858700317239","100","98.0110791322734","29.186627346176","37.4472324751597","0","0",1.5
"78","7","nInfected","0.645","1","random","0.8","25.2972086852114","23.7734811040413","100","96.0339062135469","0","24.5353448946263","0","0",1.5
"79","10","Infectiousness","0.645","1","random","0.8","30.3286193989946","28.7783835839664","100","97.1822211179348","13.5716395734829","29.5535014914805","0","0",1.5
"80","10","nInfected","0.645","1","random","0.8","18.2985536938463","16.7679367019854","100","96.0339062135469","0","17.5332451979158","0","0",1.5
"81","15","Infectiousness","0.645","1","random","0.8","20.7979768959618","19.2118663904334","100","97.6706584579565","0","20.0049216431976","0","0",1.5
"82","15","nInfected","0.645","1","random","0.8","12.3380367991717","10.7990656193678","100","96.0339062135469","0","11.5685512092698","0","0",1.5
"83","20","Infectiousness","0.645","1","random","0.8","14.96445407536","13.3844144132651","100","96.0605398290663","0","14.1744342443126","0","0",1.5
